alloy_name_alpha,run_folder,natoms,Pct_Al,Pct_Cr,Pct_Cu,Pct_Hf,Pct_Mo,Pct_Nb,Pct_Ru,Pct_Si,Pct_Ta,Pct_Ti,Pct_V,Pct_W,Pct_Zr,total_energy_eV,energy_per_atom_eV,formation_e_per_atom_eV,formation_meV_per_atom,formation_meV_per_formula_unit,formula_unit_atoms,missing_refs,volume_A3,a_A,b_A,c_A,alpha_deg,beta_deg,gamma_deg,Ru_at_frac,vec_avg,radius_avg,vol_avg,delta_r,chi_avg,delta_chi,Hmix_kJmol
Mo25Ta75,./03_Matrix_Binaries/MATRIX_BIN_039_Mo25_Ta75,8,0,0,0,0,25,0,0,0,75,0,0,0,0,-93.47167707,-11.68395963375,-0.039575968750000357,-39.57596875000036,-39.57596875000036,1,,139.22349453973206,5.632205495090508,5.725164888451923,5.632205495090508,109.80591129800999,109.13446627185871,109.80591129800999,0.0,5.25,1.4425,17.4,0.02101274809875594,1.665,0.2857883832488648,-1.5
Mo50Ta50,./03_Matrix_Binaries/MATRIX_BIN_040_Mo50_Ta50,8,0,0,0,0,50,0,0,0,50,0,0,0,0,-92.05596452,-11.506995565,-0.10770782500000031,-107.70782500000031,-107.70782500000031,1,,133.5120039748257,5.576744509399023,5.576744509399023,5.576744509399023,109.49123844211228,109.46121265802498,109.46121265802498,0.0,5.5,1.4249999999999998,16.8,0.02456140350877195,1.83,0.33000000000000007,-2.0
Mo75Ta25,./03_Matrix_Binaries/MATRIX_BIN_041_Mo75_Ta25,8,0,0,0,0,75,0,0,0,25,0,0,0,0,-90.28404885,-11.28550610625,-0.1313142912500016,-131.3142912500016,-131.3142912500016,1,,129.07119094680405,5.50047849621491,5.50047849621491,5.50047849621491,109.26642567012621,109.26642567012621,109.26642567012621,0.0,5.75,1.4075,16.2,0.021535267589666326,1.995,0.2857883832488648,-1.5
Mo88Ta12,./03_Matrix_Binaries/MATRIX_BIN_042_Mo87_Ta12,8,0,0,0,0,88,0,0,0,12,0,0,0,0,-89.07164373,-11.13395546625,-0.1072135322500003,-107.2135322500003,-107.2135322500003,1,,127.18414731243901,5.487210545248517,5.487210545248517,5.487210545248517,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.88,1.3983999999999999,15.888,0.01626666728617038,2.0808,0.21447461388238936,-0.8448
Mo12W88,./03_Matrix_Binaries/MATRIX_BIN_043_Mo12_W87,8,0,0,0,0,12,0,0,0,0,0,0,88,0,-102.03651779,-12.75456472375,-0.024427299350000098,-24.427299350000098,-24.427299350000098,1,,127.3321396398202,5.4893380386121375,5.4893380386121375,5.4893380386121375,109.47122063449069,109.47122063449069,109.47122063449069,0.0,6.0,1.39,15.776,0.0,2.336,0.0649923072370876,-0.4224
Mo25W75,./03_Matrix_Binaries/MATRIX_BIN_044_Mo25_W75,8,0,0,0,0,25,0,0,0,0,0,0,75,0,-99.96373905,-12.49546738125,-0.03434745624999813,-34.34745624999813,-34.34745624999813,1,,127.051687749987,5.485141723011166,5.485794673946358,5.485141723011166,109.47363205841464,109.46880910292377,109.47363205841464,0.0,6.0,1.39,15.750000000000002,0.0,2.31,0.08660254037844375,-0.75
Mo50W50,./03_Matrix_Binaries/MATRIX_BIN_045_Mo50_W50,8,0,0,0,0,50,0,0,0,0,0,0,50,0,-95.82413311,-11.97801663875,-0.03423805875000063,-34.23805875000063,-34.23805875000063,1,,126.4893460571077,5.4772001671784984,5.4772001671784984,5.4772001671784984,109.47251885093695,109.47057153016755,109.47057153016755,0.0,6.0,1.39,15.7,0.0,2.26,0.09999999999999987,-1.0
Mo75W25,./03_Matrix_Binaries/MATRIX_BIN_046_Mo75_W25,8,0,0,0,0,75,0,0,0,0,0,0,25,0,-91.66950844,-11.458688555,-0.03225132000000208,-32.25132000000208,-32.25132000000208,1,,125.92729791340247,5.468927608127854,5.468927608127854,5.468927608127854,109.46902798751461,109.46902798751461,109.46902798751461,0.0,6.0,1.39,15.649999999999999,0.0,2.21,0.08660254037844375,-0.75
Mo88W12,./03_Matrix_Binaries/MATRIX_BIN_047_Mo87_W12,8,0,0,0,0,88,0,0,0,0,0,0,12,0,-89.59509397,-11.19938674625,-0.041967010649999636,-41.96701064999964,-41.96701064999964,1,,125.59968703328795,5.4643287010586485,5.4643287010586485,5.4643287010586485,109.47122063449069,109.47122063449069,109.47122063449069,0.0,6.0,1.39,15.623999999999999,0.0,2.184,0.0649923072370876,-0.4224
Mo12V88,./03_Matrix_Binaries/MATRIX_BIN_048_Mo12_V87,8,0,0,0,0,12,0,0,0,0,0,88,0,0,-73.80539473,-9.22567434125,-0.011034159250000286,-11.034159250000286,-11.034159250000286,1,,108.26242457994891,5.200357654669011,5.200357654669011,5.200357654669011,109.47122063449069,109.47122063449069,109.47122063449069,0.0,5.12,1.346,13.664,0.012071379501687863,1.6936,0.17222961417828245,-0.4224
