B2_Name,a_B2,B2_Formation_Energy,B2_VEC,B2_delta_r,B2_chi_avg,B2_delta_chi,B2_Hmix,B2_Ru,B2_Hf,B2_Ti,B2_Zr,B2_Al,B2_Mo,B2_Nb,B2_Ta,B2_W,B2_V,B2_Cr,B2_Cu,B2_Si
B2_TERN_SOL_088_Ru_Ti87_Nb12,2.452124543,-0.983188993,6.0625,0.04588506177003,1.8736,0.3266910467092724,-9.6112,0.5,0.0,0.4375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_089_Ru_Ti75_Nb25,3.102904429,-0.903188944,6.125,0.0454989552387946,1.8772,0.3233081502220444,-9.1648,0.5,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_090_Ru_Ti87_Mo12,2.443019595,-0.92145562,6.125,0.0449536510398423,1.9072,0.3256196554263886,-9.760000000000002,0.5,0.0,0.4375,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_091_Ru_Ti75_Mo25,3.083886002,-0.762838311,6.25,0.0433128345312989,1.9444,0.3168416639269527,-9.52,0.5,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_092_Ru_Ti87_Ta12,2.4505202,-1.012091649,6.0625,0.04588506177003,1.8676,0.3325270515311499,-9.28,0.5,0.0,0.4375,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_093_Ru_Ti75_Ta25,3.098798357,-0.958150623,6.125,0.0454989552387946,1.8652,0.3350178502706983,-8.559999999999999,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_094_Ru_Ti87_W12,2.443767345,-0.933472753,6.125,0.0449536510398423,1.9192,0.338158779273879,-9.52,0.5,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
B2_TERN_SOL_095_Ru_Ti75_W25,3.082186007,-0.789613358,6.25,0.0433128345312989,1.9684,0.3390596407713546,-9.04,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
B2_TERN_SOL_096_Ru_Ti87_V12,2.432602346,-0.982724607,6.0625,0.0461854444311139,1.8754,0.3252581128888256,-9.04,0.5,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
B2_TERN_SOL_097_Ru_Ti75_V25,3.05499642,-0.905306641,6.125,0.0454154582679287,1.8808,0.3203550530271062,-8.08,0.5,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
B2_TERN_SOL_098_Ru_Zr87_Nb12,2.587326291,-0.890146496,6.0625,0.0860586382926536,1.7812,0.423370476060861,-16.756800000000002,0.5,0.0,0.0,0.4375,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_099_Ru_Zr75_Nb25,3.24867904,-0.818094975,6.125,0.0831528643327092,1.7974,0.4107739524361301,-15.4272,0.5,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_100_Ru_Zr87_Mo12,2.579128061,-0.806967569,6.125,0.0870934949098326,1.8148,0.4298289892503762,-16.8,0.5,0.0,0.0,0.4375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_101_Ru_Zr75_Mo25,3.227755359,-0.655458039,6.25,0.084783177312234,1.8646000000000005,0.4187133148109814,-15.6,0.5,0.0,0.0,0.375,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_102_Ru_Zr87_Ta12,2.585601013,-0.911972703,6.0625,0.0860586382926536,1.7752,0.4265922643461787,-16.32,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_103_Ru_Zr75_Ta25,3.244496924,-0.863325979,6.125,0.0831528643327091,1.7854,0.4177664898002233,-14.64,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0
B2_TERN_SOL_104_Ru_Zr87_W12,2.579495061,-0.814514579,6.125,0.0870934949098326,1.8268,0.4419205358432667,-16.56,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0
B2_TERN_SOL_105_Ru_Zr75_W25,3.229426942,-0.661370427,6.25,0.084783177312234,1.8886,0.4401409319752027,-15.12,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0
B2_TERN_SOL_106_Ru_Zr87_V12,2.572114963,-0.856520623,6.0625,0.0887380403728719,1.783,0.4226594373724548,-16.08,0.5,0.0,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0
B2_TERN_SOL_107_Ru_Zr75_V25,3.208378924,-0.759667971,6.125,0.0877123126458997,1.8010000000000002,0.4091564492953766,-14.16,0.5,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0
B2_PENALTY_108_Ru100Al0_Hf,5.135083991,-1.187745448,6.0,0.0821917808219178,1.75,0.45,-15.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_PENALTY_109_Ru87Al12_Hf,2.578995294,-1.06443911,5.6875,0.0794670531912796,1.7146,0.4362027510229618,-15.312,0.4375,0.5,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_PENALTY_110_Ru75Al25_Hf,3.264770933,-0.95574225,5.375,0.0765104674756606,1.6792000000000002,0.4189741758151689,-15.048,0.375,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B2_PENALTY_111_Ru62Al37_Hf,2.60403723,-0.842813539,5.0625,0.072734714189907,1.6379,0.3939322149812072,-14.012,0.3125,0.5,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
